Thu Feb 22 02:43:17 2018    ../cProfile_results/110101011000100111/cProfile.log

         563405820 function calls (546416936 primitive calls) in 5134.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
29904/24728 2190.847    0.073 2715.177    0.110 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
   576862    4.177    0.000    9.006    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/promise/promise.py:492(is_thenable)
  1624246    4.175    0.000   15.748    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:215(__exit__)
  9150544    4.125    0.000    4.125    0.000 {method 'update' of 'HASH' objects}
847370/15277    4.099    0.000   12.918    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py:145(deepcopy)
  1186859    4.051    0.000   37.270    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/__init__.py:84(ugettext)
1327413/29622    4.013    0.000 1163.823    0.039 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:953(render_annotated)
    64985    3.896    0.000    7.057    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:78(__prepare_class__)
   105700    3.846    0.000   12.774    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:475(get_default_columns)
   730259    3.832    0.000   18.090    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/datastructures.py:45(__init__)
   707844    3.814    0.000    9.814    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/collections.py:597(update)
   342590    3.807    0.000   11.705    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_lookups.py:23(get_normalized_value)
    30888    3.782    0.000    7.204    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:183(enter)
  1268094    3.757    0.000    3.757    0.000 {method 'match' of 'SRE_Pattern' objects}
  3743028    3.737    0.000    3.737    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:64(_note)
  1061692    3.734    0.000    4.959    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/tree.py:83(add)
   517431    3.686    0.000    5.506    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/decoder.py:73(py_scanstring)
   437453    3.646    0.000   24.728    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:356(split_contents)
954484/194714    3.613    0.000    7.444    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:970(get_nodes_by_type)
   900678    3.557    0.000   16.911    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/expressions.py:657(as_sql)
357454/355410    3.524    0.000  252.670    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:872(_resolve_lookup)
  1000233    3.451    0.000    8.453    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django_countries/__init__.py:25(sort_key)
   650059    3.442    0.000    8.796    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:589(local_related_fields)
   388570    3.437    0.000    3.826    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py:5444(__init__)
   444200    3.435    0.000    9.964    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py:1638(_fix)
  1763765    3.426    0.000    3.426    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py:124(_set_creation_counter)
