Fri Feb 23 13:42:46 2018    ../cProfile_results/110100011011101101/cProfile.log

         680865947 function calls (660538449 primitive calls) in 4916.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
37471/32958 1985.117    0.053 2401.978    0.073 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
1566014/36529    4.084    0.000  992.135    0.027 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:953(render_annotated)
 10356252    3.976    0.000    3.976    0.000 {method 'update' of 'HASH' objects}
769500/732060    3.926    0.000    8.601    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:170(leave)
   420896    3.925    0.000  172.793    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:805(_filter_or_exclude)
   559556    3.870    0.000   11.727    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py:1638(_fix)
   556331    3.836    0.000    5.758    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/decoder.py:73(py_scanstring)
  1695707    3.776    0.000    4.427    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:533(extend_nodelist)
   167149    3.775    0.000    7.023    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py:1546(_setup_prefix)
  2319610    3.745    0.000    6.205    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:1458(_get_m2m_attr)
  2258909    3.629    0.000    3.832    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py:29(__init__)
  1452949    3.605    0.000    3.605    0.000 {method 'match' of 'SRE_Pattern' objects}
   421143    3.541    0.000  146.385    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1214(add_q)
  1075992    3.528    0.000    8.666    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/expressions.py:657(as_sql)
  2315901    3.522    0.000  181.685    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:463(__get__)
   131335    3.502    0.000  807.364    0.006 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/backends/utils.py:76(execute)
  2438517    3.377    0.000    3.500    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/six.py:595(itervalues)
  2319610    3.333    0.000    5.375    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:1476(_get_m2m_reverse_attr)
  1995719    3.290    0.000    3.290    0.000 <builtin>/2.7/_weakrefset.py:70(__contains__)
  2101164    3.258    0.000    3.821    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/gettext.py:474(ugettext)
  2048581    3.190    0.000    3.578    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:147(acquire)
1024882/1022477    3.163    0.000  234.714    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:848(resolve)
   322740    3.161    0.000    6.745    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/promise/promise.py:111(_fulfill)
    96970    3.160    0.000    4.827    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py:139(__init__)
65358/16368    3.084    0.000    9.538    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/decoder.py:147(JSONObject)
   425524    3.051    0.000   20.867    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1010(solve_lookup_type)
  2881742    2.994    0.000    3.187    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/safestring.py:120(mark_safe)
  2254336    2.989    0.000    2.989    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:407(related_query_name)
   219895    2.960    0.000    3.745    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query_utils.py:150(get_lookup)
    12070    2.935    0.000  760.250    0.063 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:1387(prefetch_related_objects)
   234842    2.923    0.000    6.050    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/formats.py:187(localize)
   346142    2.851    0.000    8.396    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:1422(_get_path_info)
  2276290    2.832    0.000    2.899    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py:23(__new__)
   139177    2.813    0.000    5.484    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene/types/objecttype.py:68(__init__)
1238079/1237735    2.660    0.000    8.078    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/dispatch/dispatcher.py:168(send)
  1186456    2.657    0.000    2.657    0.000 {method 'normalize' of 'unicodedata.UCD' objects}
  8918590    2.643    0.000    7.790    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:579(related_fields)
   177179    2.640    0.000    3.473    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py:2506(_rescale)
   130338    2.639    0.000    2.639    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:112(__del__)
    79007    2.595    0.000    2.862    0.000 {_io.open}
   526687    2.504    0.000    2.594    0.000 {method 'format' of 'unicode' objects}
   165084    2.473    0.000   12.262    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py:2420(quantize)
  1791155    2.470    0.000    2.470    0.000 {method 'encode' of 'unicode' objects}
534480/146720    2.451    0.000   14.866    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/maxminddb/decoder.py:77(_decode_pointer)
