time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
2692,23.9,415346688,661983232,28209152,521801728
2702,28.3,414908416,661983232,28209152,521801728
2712,24.9,414908416,661983232,28209152,521801728
2722,31.3,414908416,661983232,28209152,521801728
2732,20.2,414908416,661983232,28209152,521801728
2742,25.1,414908416,661983232,28209152,521801728
2752,20.1,414908416,661983232,28209152,521801728
2762,30.1,414908416,661983232,28209152,521801728
2772,23.8,414908416,661983232,28209152,521801728
2782,26.4,414433280,661983232,28209152,521801728
2792,20.9,414433280,661983232,28209152,521801728
2802,27.0,414433280,661983232,28209152,521801728
2812,29.8,414433280,661983232,28209152,521801728
2822,26.5,414433280,661983232,28209152,521801728
2832,26.7,414433280,661983232,28209152,521801728
2842,31.2,414433280,661983232,28209152,521801728
2852,24.2,415768576,661983232,28209152,521801728
2862,26.1,416817152,661983232,28209152,521801728
2872,27.2,416817152,661983232,28209152,521801728
2882,27.6,416817152,661983232,28209152,521801728
2892,21.6,416817152,661983232,28209152,521801728
2902,26.4,416817152,661983232,28209152,521801728
2912,25.3,416817152,661983232,28209152,521801728
2922,30.7,416296960,661983232,28209152,521801728
2932,17.0,416296960,661983232,28209152,521801728
2942,28.9,415776768,661983232,28209152,521801728
2952,20.6,415776768,661983232,28209152,521801728
2962,29.3,415776768,661983232,28209152,521801728
2972,24.2,415776768,661983232,28209152,521801728
2982,30.6,415776768,661983232,28209152,521801728
2992,27.2,415776768,661983232,28209152,521801728
